model,pooling,layer,n_prompts,n_nan_at_layer,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
deepseek,last_token_hs,0,45,0,False,,,,,,0.42048917922079576,0
deepseek,last_token_hs,1,45,0,False,0.023491743722088416,-0.04583825450390577,0.17023551538586615,0.04292186330024978,0.05145458353919296,0.42048917922079576,1000
deepseek,last_token_hs,2,45,0,False,0.0060043851317083015,-0.04350616130977869,0.13165938071906566,0.046191619087742566,0.09695736325157343,0.42048917922079576,1000
deepseek,last_token_hs,3,45,0,False,-0.005523615886291142,-0.04531781272962689,0.11108856275677673,0.06603648062444618,0.16879419965576392,0.42048917922079576,1000
deepseek,last_token_hs,4,45,0,False,0.007986341841121476,-0.03633425896987319,0.113628863543272,0.06757384210235684,0.1436493669217112,0.42048917922079576,1000
deepseek,last_token_hs,5,45,0,False,0.0261837308559777,-0.01463306553196162,0.11739973258227109,0.06152642030013755,0.09005346924291847,0.42048917922079576,1000
deepseek,last_token_hs,6,45,0,False,0.09464192202085059,0.037271559517830614,0.1903843205422163,0.11353517911256587,0.06624526211282243,0.42048917922079576,1000
deepseek,last_token_hs,7,45,0,False,0.0846686642078144,0.03260841825976968,0.1716374561190605,0.09930189925496914,0.0537307440216228,0.42048917922079576,1000
deepseek,last_token_hs,8,45,0,False,0.05934099273039779,0.00960231253411621,0.15131023898720738,0.07274553830102504,0.04509120258349661,0.42048917922079576,1000
deepseek,last_token_hs,9,45,0,False,0.07351293263472986,0.03136314260773361,0.16870321668684476,0.08433908265772262,0.042094059329257,0.42048917922079576,1000
deepseek,last_token_hs,10,45,0,False,0.07839406257759976,0.023517502238973975,0.17668930292129517,0.09898960570524949,0.0666389762048466,0.42048917922079576,1000
deepseek,last_token_hs,11,45,0,False,0.10579944751463786,0.03946924675256014,0.20125229358673094,0.12512426300979104,0.069840267125273,0.42048917922079576,1000
deepseek,last_token_hs,12,45,0,False,0.14024497020758575,0.028083008201792835,0.26663134992122645,0.1852789516363928,0.14104293924027161,0.42048917922079576,1000
deepseek,last_token_hs,13,45,0,False,0.17087163326743526,0.06494065821170807,0.3046852484345436,0.20330590991929168,0.11735313566189835,0.42048917922079576,1000
deepseek,last_token_hs,14,45,0,False,0.22159952492175816,0.0953175351023674,0.35917996466159813,0.3007545960279969,0.2526066089736699,0.42048917922079576,1000
deepseek,last_token_hs,15,45,0,False,0.24257880772888699,0.12480822317302227,0.36942494958639144,0.3178185008262689,0.24888360303516527,0.42048917922079576,1000
deepseek,last_token_hs,16,45,0,False,0.24372039572553922,0.13463819213211536,0.3414846114814281,0.32476419288322855,0.26531494793027555,0.42048917922079576,1000
deepseek,last_token_hs,17,45,0,False,0.18111328419612205,0.09174209088087082,0.29243747666478154,0.22671742623437316,0.1529839456230566,0.42048917922079576,1000
deepseek,last_token_hs,18,45,0,False,0.18001751574146257,0.09927615653723479,0.29121109023690217,0.20848447735060058,0.10973254495286454,0.42048917922079576,1000
deepseek,last_token_hs,19,45,0,False,0.15156428108872935,0.08887671660631895,0.24941048957407472,0.1767572024784885,0.09480059636523423,0.42048917922079576,1000
deepseek,last_token_hs,20,45,0,False,0.1366769001068063,0.07658978588879109,0.23027365803718566,0.1435852830010876,0.046885968569594406,0.42048917922079576,1000
deepseek,last_token_hs,21,45,0,False,0.12528380897415767,0.06779531259089708,0.2098000820726156,0.13391265961389295,0.04845905640886556,0.42048917922079576,1000
deepseek,last_token_hs,22,45,0,False,0.08943586406761211,0.03697611195966601,0.1855906557291746,0.1153255694711998,0.08193665185998883,0.42048917922079576,1000
deepseek,last_token_hs,23,45,0,False,0.0734607846559379,0.017315064556896687,0.17883895598351957,0.09923465525722079,0.0779729580193615,0.42048917922079576,1000
deepseek,last_token_hs,24,45,0,False,0.060169627150005046,0.007668707170523704,0.16243128590285777,0.08747477026012329,0.0786035065659879,0.42048917922079576,1000
deepseek,last_token_hs,25,45,0,False,0.05658375256520536,0.008676927536725998,0.1531417980790138,0.07969056312951237,0.06770702560043494,0.42048917922079576,1000
deepseek,last_token_hs,26,45,0,False,0.048054407595700135,0.0033734060882125057,0.14549959041178226,0.06949290689215232,0.06177694436921586,0.42048917922079576,1000
deepseek,last_token_hs,27,45,0,False,0.05347382443699662,0.008367468370124698,0.1504773184657097,0.07417758525966177,0.061242922676920684,0.42048917922079576,1000
deepseek,last_token_hs,28,45,0,False,0.04556434825133571,0.0006876134357298729,0.1444800566881895,0.06611815577317948,0.05909780851761203,0.42048917922079576,1000
deepseek,last_token_hs,29,45,0,False,0.04505036239117399,-0.004910208005458115,0.14827352203428745,0.06405317806189727,0.055272715818326934,0.42048917922079576,1000
deepseek,last_token_hs,30,45,0,False,0.049838860972098234,-0.014116669329814611,0.17982887290418145,0.06123688996975137,0.038172612556424804,0.42048917922079576,1000
deepseek,mean_pool_hs,0,45,0,False,0.09826105234945173,0.050179672054946424,0.19998789392411703,0.07973864159903182,-0.02233382917068953,0.42048917922079576,1000
deepseek,mean_pool_hs,1,45,0,False,0.07889551269248167,0.019879831932485104,0.1887541215866804,0.08887313102730773,0.041267179603514885,0.42048917922079576,1000
deepseek,mean_pool_hs,2,45,0,False,0.07932719400085819,0.001756640311214142,0.25420672148466106,0.10027467422646442,0.06769835084823808,0.42048917922079576,1000
deepseek,mean_pool_hs,3,45,0,False,0.07857663314091232,0.0027653607889078567,0.25340910255908966,0.10084930941872988,0.0707162186625254,0.42048917922079576,1000
deepseek,mean_pool_hs,4,45,0,False,0.07792057970837914,0.009794812160544097,0.24686473943293094,0.09898702368236358,0.06766380448608758,0.42048917922079576,1000
deepseek,mean_pool_hs,5,45,0,False,0.07982606538794884,0.011279076593928041,0.24525605291128158,0.09860360138414936,0.06259286999077371,0.42048917922079576,1000
deepseek,mean_pool_hs,6,45,0,False,0.08137058950304983,0.012904508761130274,0.24596220254898069,0.09738438131526242,0.05630144480863948,0.42048917922079576,1000
deepseek,mean_pool_hs,7,45,0,False,0.08223979038197961,0.014416335453279317,0.24186943508684633,0.0935129011529198,0.04512110187016984,0.42048917922079576,1000
deepseek,mean_pool_hs,8,45,0,False,0.08517978630968218,0.023095224518328905,0.2411889810115099,0.09456796251409202,0.041262344741175225,0.42048917922079576,1000
deepseek,mean_pool_hs,9,45,0,False,0.09308244449435846,0.02821079660207033,0.2429520174860954,0.10086248936184322,0.03917783107473903,0.42048917922079576,1000
deepseek,mean_pool_hs,10,45,0,False,0.10537384748573336,0.042201763670891526,0.25046053230762483,0.11504537725695538,0.04647743912940891,0.42048917922079576,1000
deepseek,mean_pool_hs,11,45,0,False,0.11092946881660046,0.04911215780302882,0.256796270608902,0.12375012618645202,0.055312168983453425,0.42048917922079576,1000
deepseek,mean_pool_hs,12,45,0,False,0.11893917334911067,0.0536365931853652,0.26027963161468504,0.13639764237483243,0.06834116770487608,0.42048917922079576,1000
deepseek,mean_pool_hs,13,45,0,False,0.1283682567096451,0.06001611622050405,0.26452224552631376,0.14516933857574998,0.0689150499862474,0.42048917922079576,1000
deepseek,mean_pool_hs,14,45,0,False,0.12651175399219322,0.0634683495387435,0.25922385603189463,0.14548913203348557,0.07376658732423769,0.42048917922079576,1000
deepseek,mean_pool_hs,15,45,0,False,0.12641620066049147,0.07631760854274035,0.25413044467568396,0.14024006599931854,0.06125808578654823,0.42048917922079576,1000
deepseek,mean_pool_hs,16,45,0,False,0.1170450982692367,0.060079979710280895,0.24307986162602893,0.12635022697368137,0.04822731804160846,0.42048917922079576,1000
deepseek,mean_pool_hs,17,45,0,False,0.11110602572345724,0.06205784622579813,0.23613755218684668,0.11002226320074038,0.021975312784268983,0.42048917922079576,1000
deepseek,mean_pool_hs,18,45,0,False,0.1142113935704785,0.06508397571742534,0.24072779528796673,0.10903840106475007,0.012897602499146432,0.42048917922079576,1000
