model,DV,layer,b_prag,p_prag,b_sim,p_sim,b_mult,p_mult,b_mult_sd,p_mult_sd,R2,n
Qwen,caa_per_layer_l2,0,,,,,,,,,,45
Qwen,caa_per_layer_l2,1,0.43303663514825097,0.006402784059262644,-0.32644652241701333,0.011600093830749865,-0.17794928787812309,0.21398623083837975,0.1879584125956502,0.32728195247421843,0.13206016845442947,45
Qwen,caa_per_layer_l2,2,0.6407796641684244,0.0010637902659140729,-0.47402458597352165,0.0011543334977980528,-0.26237730871800485,0.08039899994655593,0.06951848487704587,0.6907469852434941,0.1905835289961988,45
Qwen,caa_per_layer_l2,3,0.6634335783405292,8.645626589768468e-05,-0.42135677872760396,0.004516240824957537,-0.3698612913170936,0.002155231674861884,-0.03325496673174311,0.8016378076528288,0.26424578578347535,45
Qwen,caa_per_layer_l2,4,0.6288926413597079,0.0005732318852644694,-0.49696426623226686,0.0032581881304202336,-0.39631496019410445,0.04456573879137393,-0.05621173594860405,0.6837649751919366,0.24918723879305493,45
Qwen,caa_per_layer_l2,5,0.6323895227347502,0.00016242810130183424,-0.7010884282935552,2.7224687138974937e-05,-0.4585675431076165,0.0006528330255052299,0.15041482790361121,0.18033109507317513,0.3884492044614708,45
Qwen,caa_per_layer_l2,6,0.6119903339383955,0.002374139636129542,-0.7493106264354797,1.2596556552359077e-05,-0.3545527091978205,0.00972053241634655,0.2692018400089142,0.0066832977932668155,0.3848470067693578,45
Qwen,caa_per_layer_l2,7,0.5942061186554009,0.010383740638911792,-0.6834385982295312,0.00023173923250366588,-0.2762221139448018,0.12327210853866097,0.3194988396829481,0.010475392680969234,0.3367803717012334,45
Qwen,caa_per_layer_l2,8,0.7494207067010392,0.0047210227537653505,-0.7303490547829428,0.000978239976036168,-0.18512201233936632,0.3547234866847869,0.3359130194798652,0.010165648502009583,0.32240296136441926,45
Qwen,caa_per_layer_l2,9,0.6377221931783277,0.02555467256577066,-0.7159344355538608,0.0021850298452372914,-0.033689303379662194,0.8722937840861075,0.26519750935527103,0.0569624150142964,0.20245098570027276,45
Qwen,caa_per_layer_l2,10,0.6187065549021207,0.044048897731762085,-0.6869607020683492,0.007208919564166737,-0.09103041085799041,0.6513916844911397,0.23006416483178443,0.08296727371898432,0.18830784686660507,45
Qwen,caa_per_layer_l2,11,0.5796097864511842,0.05962537536607217,-0.6685574958651346,0.01513397505329649,-0.18137267622416303,0.4045713608233249,0.13548405734201555,0.3680494008670995,0.17347387392857627,45
Qwen,caa_per_layer_l2,12,0.6171527759312702,0.059764706918173906,-0.6646895471219352,0.021107800659877045,-0.17088508022862314,0.4021268080632071,0.14178724046940278,0.3788424601457936,0.1717006023159201,45
