model,pooling,layer,standardised,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
llama,mean_pool_hs,17,True,False,0.24327660413917412,0.12127530034631491,0.3200167506933212,0.35670832779187744,0.35823282168743187,0.42048917922079576,1000
llama,mean_pool_hs,18,True,False,0.2275700555329799,0.1073864970356226,0.30719843357801435,0.3438178675054377,0.3594473186644998,0.42048917922079576,1000
llama,mean_pool_hs,19,True,False,0.21589770951336762,0.09863707795739174,0.29858346506953237,0.3321549319195216,0.3542964104399225,0.42048917922079576,1000
llama,mean_pool_hs,20,True,False,0.20524170812871442,0.09519435726106167,0.2823996230959892,0.3212547590824482,0.3489927285329587,0.42048917922079576,1000
llama,mean_pool_hs,21,True,False,0.19245397499975705,0.08578763380646706,0.27553905621171,0.3046322445462968,0.33289423112389976,0.42048917922079576,1000
llama,mean_pool_hs,22,True,False,0.1820917239844322,0.08136841021478176,0.26532187089323994,0.2914504657885664,0.32101421912634864,0.42048917922079576,1000
llama,mean_pool_hs,23,True,False,0.1753997413376232,0.07866196464747191,0.2570882633328438,0.2819998441164262,0.31094492093207526,0.42048917922079576,1000
llama,mean_pool_hs,24,True,False,0.17154515139589338,0.07240687850862741,0.2529985435307026,0.2808928178384411,0.3169523165362361,0.42048917922079576,1000
llama,mean_pool_hs,25,True,False,0.16920511111847647,0.07250586878508329,0.24740344956517216,0.2786099744500302,0.3162232869054323,0.42048917922079576,1000
llama,mean_pool_hs,26,True,False,0.17169306000607568,0.07490232698619366,0.25288371816277505,0.2817685861425724,0.318984900319439,0.42048917922079576,1000
