condition,H_total_mean,H_total_std,H_total_count,H_mean_mean,H_mean_std,H_mean_count,half_life_rel_mean,half_life_rel_std,half_life_rel_count,H_front_auc_mean,H_front_auc_std,H_front_auc_count,H_mid_auc_mean,H_mid_auc_std,H_mid_auc_count,H_back_auc_mean,H_back_auc_std,H_back_auc_count,H_fb_ratio_mean,H_fb_ratio_std,H_fb_ratio_count,EAS_front_auc_mean,EAS_front_auc_std,EAS_front_auc_count,EAS_mid_auc_mean,EAS_mid_auc_std,EAS_mid_auc_count,EAS_back_auc_mean,EAS_back_auc_std,EAS_back_auc_count,EAS_fb_ratio_mean,EAS_fb_ratio_std,EAS_fb_ratio_count
direct_information,53.09119212666667,12.923758642425097,15,0.4295291000246352,0.05573245731509576,15,0.48034630102914394,0.03345752943358251,15,0.44859633826776807,0.06336975981414344,15,0.4356222447823142,0.07245565779419136,15,0.4044469549298006,0.05642235570670707,15,0.9087710280654119,0.1125007553305417,15,0.20312381035059665,0.05163608061867503,15,0.24551913386704652,0.04603030380799363,15,0.23112668246385343,0.03928082307025406,15,1.1856512775727006,0.27399412372048276,15
implicature_information,43.41000253333333,16.52913657118448,15,0.4514161351301562,0.06129182534743986,15,0.49529845144428286,0.03748564501473616,15,0.452275062765982,0.071242461304369,15,0.4604391084827593,0.06734097073279169,15,0.4415503172295854,0.07951281935459278,15,0.989072199105627,0.17348337343324308,15,0.1969246353653011,0.03489243314587769,15,0.2564966438781812,0.048703645431903114,15,0.2538019622717441,0.04365410558231441,15,1.3122986586600514,0.24965929569963988,15
no_context,47.221067633333334,18.21151732858078,15,0.4457048162598322,0.05506151818033924,15,0.5021340334267744,0.03130796317458144,15,0.4505761088061956,0.07433728492973196,15,0.43687420530557436,0.059322232132318874,15,0.44947823655695107,0.07340763020026078,15,1.016766761334118,0.21375117133876972,15,0.19961126169849303,0.04514315448891097,15,0.2457168069186326,0.04755263311772664,15,0.255057859281552,0.04856193956681995,15,1.3212961809812278,0.3068286156910488,15
stochastic_information,41.58925936,19.324385411577076,15,0.46487948757625225,0.048246922053532884,15,0.49994793486198436,0.022702875689486337,15,0.453780408371274,0.06109467131043001,15,0.4781044377169319,0.057367038011976304,15,0.46291720553370647,0.05242193084484429,15,1.0284368489415903,0.11017334523016807,15,0.18867850510989587,0.029714489373430072,15,0.25954254143913486,0.03887245712538459,15,0.25064409460871623,0.03880691641913733,15,1.3416729263271834,0.17991077423457486,15
