prompt_id,condition,domain,gen_len_H,gen_len_EAS,H_total,H_mean,H_half_life,half_life_rel,H_front_auc,H_mid_auc,H_back_auc,H_fb_ratio,EAS_front_auc,EAS_mid_auc,EAS_back_auc,EAS_fb_ratio
1,no_context,social,150,150,57.735034199999994,0.38490022799999996,80,0.54,0.252468908,0.46671827399999993,0.435513502,1.7250183614688903,0.12053567539999997,0.2635324418,0.25735819800000004,2.135120553694596
2,direct_information,social,150,150,51.16039859999999,0.34106932399999995,83,0.56,0.24907298,0.3877627760000001,0.38637221600000005,1.5512409896890464,0.118415964,0.24372703520000003,0.23238008319999998,1.9624050284301193
3,implicature_information,social,150,150,61.178666899999996,0.4078577793333333,78,0.5266666666666666,0.37089809599999995,0.41932839800000005,0.433346844,1.1683717136148364,0.22240214560000002,0.2571521884,0.2589438382,1.1643045866370454
4,stochastic_information,social,150,150,58.4950094,0.3899667293333333,77,0.52,0.31160241600000005,0.478200118,0.38009765400000006,1.2198161326194596,0.1631774366,0.2693621842,0.2316483898,1.419610423025851
5,no_context,social,150,150,48.03377669999999,0.32022517799999994,84,0.5666666666666667,0.23212791800000002,0.375662814,0.35288480199999994,1.520216977950924,0.10489532979999999,0.25209323819999996,0.2353153724,2.243335073626891
6,direct_information,social,150,150,51.01237619999999,0.34008250799999995,83,0.56,0.32819292399999994,0.307812186,0.384242414,1.1707821403242686,0.1494707562,0.1935108848,0.22188929500000004,1.484499715135582
7,implicature_information,social,150,150,44.7723968,0.29848264533333335,80,0.54,0.32656456000000006,0.258896358,0.309987018,0.9492365552465336,0.1170249188,0.14524774780000002,0.2005807232,1.7140001057620902
8,stochastic_information,social,150,150,49.3765837,0.32917722466666666,72,0.4866666666666667,0.31103317799999997,0.363473934,0.313024562,1.0064024809597645,0.1256494856,0.2289482464,0.2043328312,1.6262130340149996
9,no_context,natural,150,150,33.6838238,0.22455882533333332,77,0.52,0.21161023399999998,0.23618590199999998,0.22588034,1.0674358027504476,0.0732163644,0.1294226172,0.13018701,1.7781135551712808
10,direct_information,natural,150,150,32.7650157,0.218433438,67,0.4533333333333333,0.265549506,0.20026363399999997,0.189487174,0.7135662831924079,0.13096505020000002,0.10263407000000001,0.1011467088,0.7723183295507948
