condition,H_total_mean,H_total_std,H_total_count,H_mean_mean,H_mean_std,H_mean_count,half_life_rel_mean,half_life_rel_std,half_life_rel_count,H_front_auc_mean,H_front_auc_std,H_front_auc_count,H_mid_auc_mean,H_mid_auc_std,H_mid_auc_count,H_back_auc_mean,H_back_auc_std,H_back_auc_count,H_fb_ratio_mean,H_fb_ratio_std,H_fb_ratio_count,EAS_front_auc_mean,EAS_front_auc_std,EAS_front_auc_count,EAS_mid_auc_mean,EAS_mid_auc_std,EAS_mid_auc_count,EAS_back_auc_mean,EAS_back_auc_std,EAS_back_auc_count,EAS_fb_ratio_mean,EAS_fb_ratio_std,EAS_fb_ratio_count
direct_information,62.784093119999994,8.375738499539333,15,0.4185606208,0.055838256663595584,15,0.5075555555555555,0.03407430411700585,15,0.39384786266666666,0.05349307086583187,15,0.4448850762666667,0.073683095961004,15,0.4169489234666667,0.08031541047823254,15,1.0731116604082875,0.2444395658949179,15,0.1887976519733333,0.035117798713025596,15,0.248489376,0.05186692658744182,15,0.23982847256,0.051849365913459435,15,1.3082564428708308,0.3564320472003057,15
implicature_information,61.55428813333334,9.007895654046557,15,0.4323361824521704,0.07036408789622145,15,0.5061326164874552,0.040393007961693386,15,0.4077857460202349,0.07529264811749019,15,0.4518722875628726,0.06615160943393707,15,0.437311015673545,0.09331663104692099,15,1.0872373923701322,0.20806442951393575,15,0.19157832891422766,0.04054566806175144,15,0.255606058901906,0.04014275415689165,15,0.24819859283756612,0.054479400444158575,15,1.326259363302334,0.3079234296595841,15
no_context,62.2377237,8.88616330359486,15,0.414918158,0.05924108869063236,15,0.508,0.03888934240098375,15,0.3919717837333333,0.06723749811740747,15,0.4338421256,0.057161637407967474,15,0.4189405646666667,0.08421994744973811,15,1.0810623081267514,0.2027092357129188,15,0.18178694012,0.03772691005108348,15,0.24792874032,0.03556084336603418,15,0.23966561978666664,0.052300912369475344,15,1.351042855068273,0.3295653012734316,15
stochastic_information,57.010844766666665,8.994604353381915,15,0.4207755529259464,0.053092325078127035,15,0.5179114199469068,0.029571935561033703,15,0.3842864731315794,0.04316674226288698,15,0.44127538505689323,0.06403422460592656,15,0.4364810511325443,0.07921246390737732,15,1.13796650154544,0.17031408827159858,15,0.1762968511776684,0.02738315307634711,15,0.24614039762853937,0.04064717365511584,15,0.24695334260763938,0.05417568420089328,15,1.4128227705790477,0.2917042316657067,15
