condition,H_total_mean,H_total_std,H_total_count,H_mean_mean,H_mean_std,H_mean_count,half_life_rel_mean,half_life_rel_std,half_life_rel_count,H_front_auc_mean,H_front_auc_std,H_front_auc_count,H_mid_auc_mean,H_mid_auc_std,H_mid_auc_count,H_back_auc_mean,H_back_auc_std,H_back_auc_count,H_fb_ratio_mean,H_fb_ratio_std,H_fb_ratio_count,EAS_front_auc_mean,EAS_front_auc_std,EAS_front_auc_count,EAS_mid_auc_mean,EAS_mid_auc_std,EAS_mid_auc_count,EAS_back_auc_mean,EAS_back_auc_std,EAS_back_auc_count,EAS_fb_ratio_mean,EAS_fb_ratio_std,EAS_fb_ratio_count
direct_information,72.46471711333334,34.175324988021174,15,0.7939483497623462,0.1344141093263142,15,0.521739329647552,0.025672636395066728,15,0.7352763360004567,0.09806981366700838,15,0.8130847225994745,0.15224428337095017,15,0.8313870544178646,0.1663298008197152,15,1.1255916234312406,0.14092408153806965,15,0.36451685281648005,0.07292541903485722,15,0.47825439995609803,0.09814663050309101,15,0.4970509612025881,0.12269317811272207,15,1.367268058484216,0.26964486184242337,15
implicature_information,56.511525553333335,24.976387150676715,15,0.811877997489096,0.13265940806856655,15,0.5232997225787449,0.04080757056364969,15,0.7666317030710487,0.14048181535774204,15,0.8372615866704418,0.1231332787700536,15,0.8295430372941239,0.18667065622741652,15,1.097425073217491,0.23721092569815885,15,0.3631937945279066,0.0934167293318494,15,0.45700032233043075,0.09063327078999635,15,0.47780594711580887,0.08375557689373188,15,1.376978152930899,0.36482509466962953,15
no_context,88.85536254666665,36.20401511223183,15,0.7986854499760926,0.09695911852645303,15,0.5237020739457449,0.028846015182830097,15,0.7360981131769176,0.09448613756706184,15,0.823468875107319,0.11217473035052168,15,0.8348554562491342,0.13798406444431324,15,1.1450227793021128,0.20527473762062703,15,0.3625941948012298,0.07618039604222532,15,0.48781506582741735,0.08830314612522373,15,0.506222146459274,0.0865294964616311,15,1.4553715804283582,0.4186371394709864,15
stochastic_information,56.212723340000004,28.766077052699,15,0.7974884491238764,0.09341915525033738,15,0.5326714453880156,0.051849444786797094,15,0.740130656500069,0.09326937177777646,15,0.7939384707126522,0.12181321150510825,15,0.8558940236537744,0.15824602554635767,15,1.1781454113654999,0.28349705184241264,15,0.3531370723307102,0.10807657920376243,15,0.45469843070148425,0.09434561814556988,15,0.4717856638602536,0.09816255891813279,15,1.5482901814928205,0.9440133107213551,15
