prompt_id,condition,domain,gen_len_H,gen_len_EAS,H_total,H_mean,H_half_life,half_life_rel,H_front_auc,H_mid_auc,H_back_auc,H_fb_ratio,EAS_front_auc,EAS_mid_auc,EAS_back_auc,EAS_fb_ratio
1,no_context,social,150,150,145.4326482,0.969550988,80,0.54,0.8881044159999999,0.9493843220000001,1.071164226,1.2061241974502244,0.504592802,0.6240081574,0.6464798535999999,1.281191192259615
2,direct_information,social,150,150,151.3356933,1.008904622,78,0.5266666666666666,0.861121668,1.0906304439999999,1.074961754,1.2483273780540847,0.5026762601999999,0.6381662858,0.7159078708,1.4241927210072773
3,implicature_information,social,83,83,89.548944,1.0789029397590362,42,0.5180722891566265,1.0204523037037037,1.0527026785714284,1.1614663142857142,1.138187752695745,0.5696418296296296,0.7097358017857143,0.6557344975,1.1511347365876312
4,stochastic_information,social,74,74,62.3264882,0.8422498405405405,36,0.5,0.83019365,0.826802556,0.8692710680000001,1.0470702443941846,0.44688507166666663,0.6564337424,0.612845068,1.3713706428240764
5,no_context,social,150,150,128.8361478,0.858907652,79,0.5333333333333333,0.7553686159999999,0.9491542819999998,0.8722000580000001,1.1546681176915619,0.4437770591999999,0.626374954,0.5899344662000001,1.3293487213229978
6,direct_information,social,81,81,72.15561790000001,0.8908100975308644,41,0.5185185185185185,0.8073139592592591,0.9431963444444443,0.921919988888889,1.1419596779111627,0.4219590085185185,0.5919245807407408,0.5886714340740741,1.395091518820457
7,implicature_information,social,52,52,38.8017264,0.7461870461538461,31,0.6153846153846154,0.5524128705882354,0.7332171352941176,0.9414453499999998,1.7042422436637008,0.27776655529411765,0.4340597547058824,0.5714130866666667,2.0571702236131943
8,stochastic_information,social,37,37,25.137396700000004,0.6793891000000001,19,0.5405405405405406,0.6665906,0.6218130500000001,0.7443502230769231,1.1166527446935541,0.23109306250000003,0.40803414666666665,0.4033195015384615,1.7452687552594162
9,no_context,natural,150,150,101.12453819999999,0.674163588,76,0.5133333333333333,0.629174952,0.7302383299999999,0.663077482,1.053884106308161,0.29243961279999997,0.40427406559999995,0.383776419,1.3123270658358634
10,direct_information,natural,150,150,101.64644340000001,0.677642956,75,0.5066666666666667,0.676946016,0.6809194440000002,0.6750634080000001,0.9972189687870178,0.3316400234,0.42730806480000005,0.3925236968,1.1835836120617038
11,implicature_information,natural,150,150,107.6705986,0.7178039906666667,80,0.54,0.6514996080000001,0.7496722319999999,0.7522401320000002,1.1546286793775018,0.3444445675999999,0.46276623620000007,0.48246129380000013,1.4006935779584646
12,stochastic_information,natural,48,48,33.7630768,0.7033974333333334,20,0.4375,0.8781161125,0.6518237625,0.5802524250000001,0.6607923675925034,0.315391050625,0.312478855,0.31334582687499996,0.993515276524343
13,no_context,natural,84,84,68.60789749999999,0.8167606845238095,43,0.5238095238095238,0.7518524392857142,0.8561299785714285,0.8422996357142855,1.1202991327852831,0.3675504192857143,0.44314401714285717,0.4660111689285714,1.2678836548036119
14,direct_information,natural,89,89,66.9124031,0.7518247539325843,42,0.48314606741573035,0.7197198758620691,0.7984221166666666,0.7362621066666666,1.0229842628491863,0.41734902,0.43758847466666656,0.5112150886666667,1.2249102409936572
15,implicature_information,natural,42,42,29.9524919,0.713154569047619,21,0.5238095238095238,0.6337238999999999,0.8273265428571428,0.6784132642857144,1.0705186663872304,0.34158649142857145,0.45437443857142856,0.3707354428571428,1.0853340285989228
