condition,H_total_mean,H_total_std,H_total_count,H_mean_mean,H_mean_std,H_mean_count,half_life_rel_mean,half_life_rel_std,half_life_rel_count,H_front_auc_mean,H_front_auc_std,H_front_auc_count,H_mid_auc_mean,H_mid_auc_std,H_mid_auc_count,H_back_auc_mean,H_back_auc_std,H_back_auc_count,H_fb_ratio_mean,H_fb_ratio_std,H_fb_ratio_count,EAS_front_auc_mean,EAS_front_auc_std,EAS_front_auc_count,EAS_mid_auc_mean,EAS_mid_auc_std,EAS_mid_auc_count,EAS_back_auc_mean,EAS_back_auc_std,EAS_back_auc_count,EAS_fb_ratio_mean,EAS_fb_ratio_std,EAS_fb_ratio_count
direct_information,63.546592499999996,25.446093731595116,15,0.5890890958547874,0.13879821477154003,15,0.3593241167434716,0.16552775866177585,15,0.8780604377666666,0.46215520768291785,15,0.4484137325,0.08729833891476001,15,0.4510180235347763,0.09127733791485973,15,0.63703030131401,0.2796987071058957,15,0.22582355213809524,0.04380453430205503,15,0.24922588059,0.04857578837623536,15,0.26046099965502645,0.05131152387149097,15,1.2015368647537206,0.34268771610370846,15
implicature_information,62.948643213333334,21.614761434118073,15,0.5232548746002956,0.11284999688215767,15,0.39802531970953026,0.14517848983547274,15,0.7120562104713998,0.3079921341693789,15,0.40640381972565964,0.08510994029895294,15,0.4561611007173077,0.08047379814823881,15,0.7497749954813185,0.30857599589767887,15,0.20553664350832382,0.04801333673612052,15,0.22542839601962372,0.046745147796240435,15,0.24939970979128204,0.04562629939997392,15,1.260298189700086,0.29965658904957454,15
no_context,57.81944169333334,29.700911982225723,15,0.6972343479885621,0.2783906401199536,15,0.3246834733893557,0.1961086599598089,15,1.2772981101666665,1.011788087675676,15,0.4309298013222222,0.09652484383599708,15,0.4462794542888889,0.08344070874645516,15,0.5702607511556408,0.318652161706509,15,0.21792195846999998,0.030067221533063182,15,0.24876770094444442,0.05598005041516365,15,0.25530407483555556,0.06931806100826363,15,1.1775712419034536,0.3136816747404687,15
stochastic_information,61.62309535333334,14.64973037099763,15,0.4151562691177728,0.0953584735383422,15,0.5087805120556799,0.058131083382139,15,0.42500318634739226,0.16761725298737412,15,0.3940740610857143,0.07092920950599507,15,0.42659876457142853,0.07676357878525751,15,1.0961992970958128,0.301574353856007,15,0.16786332716834465,0.0412143928069466,15,0.21569095343492065,0.03849254595864948,15,0.23828473623047622,0.039696727702427034,15,1.4570376404346252,0.2539718028449977,15
