model,metric,cond_a,cond_b,mean_a,mean_b,delta,W,p,sig,n
llama,H_fb_ratio,no_context,stochastic_information,1.2620433737184675,0.9244229903727887,0.3376203833456788,6.0,0.0008544921875,***,15
llama,EAS_fb_ratio,direct_information,stochastic_information,1.285685805078749,1.157653529367963,0.1280322757107859,28.0,0.072998046875,†,15
llama,EAS_fb_ratio,direct_information,no_context,1.285685805078749,1.7897260257320817,-0.5040402206533328,7.0,0.00115966796875,**,15
llama,EAS_fb_ratio,implicature_information,stochastic_information,1.2690033286313722,1.157653529367963,0.11134979926340915,39.0,0.25238037109375,ns,15
llama,EAS_fb_ratio,no_context,stochastic_information,1.7897260257320817,1.157653529367963,0.6320724963641187,5.0,0.0006103515625,***,15
llama,half_life_rel,direct_information,stochastic_information,0.4957494407158836,0.47382550335570467,0.021923937360178947,16.5,0.04256816411073009,*,15
llama,half_life_rel,direct_information,no_context,0.4957494407158836,0.5225950782997763,-0.026845637583892634,22.0,0.055412642059317195,†,15
llama,half_life_rel,implicature_information,stochastic_information,0.47874720357941836,0.47382550335570467,0.0049217002237136875,45.0,0.3929068492880623,ns,15
llama,half_life_rel,no_context,stochastic_information,0.5225950782997763,0.47382550335570467,0.04876957494407158,6.0,0.0035022723892946385,**,15
mistral,eas_mean,direct_information,stochastic_information,0.4160282341397983,0.4215212553494972,-0.005493021209698912,50.0,0.5994873046875,ns,15
mistral,eas_mean,direct_information,no_context,0.4160282341397983,0.4126073062357116,0.003420927904086657,50.0,0.5994873046875,ns,15
mistral,eas_mean,implicature_information,stochastic_information,0.4305262008616289,0.4215212553494972,0.009004945512131712,51.0,0.638671875,ns,15
mistral,eas_mean,no_context,stochastic_information,0.4126073062357116,0.4215212553494972,-0.008913949113785569,48.0,0.52447509765625,ns,15
mistral,beam_sbert_cosine,direct_information,stochastic_information,0.9849117120107015,0.9796143929163615,0.005297319094339947,53.0,0.7197265625,ns,15
mistral,beam_sbert_cosine,direct_information,no_context,0.9849117120107015,0.9820201396942139,0.002891572316487623,42.0,0.33026123046875,ns,15
mistral,beam_sbert_cosine,implicature_information,stochastic_information,0.9836566090583801,0.9796143929163615,0.0040422161420186065,55.0,0.803955078125,ns,15
mistral,beam_sbert_cosine,no_context,stochastic_information,0.9820201396942139,0.9796143929163615,0.0024057467778523245,58.0,0.93408203125,ns,15
mistral,beam_first_divergence_position,direct_information,stochastic_information,95.8,93.2,2.5999999999999943,57.5,0.8870196450030348,ns,15
mistral,beam_first_divergence_position,direct_information,no_context,95.8,75.53333333333333,20.266666666666666,26.5,0.05698317984206414,†,15
mistral,beam_first_divergence_position,implicature_information,stochastic_information,68.73333333333333,93.2,-24.46666666666667,15.5,0.011440098667601905,*,15
mistral,beam_first_divergence_position,no_context,stochastic_information,75.53333333333333,93.2,-17.66666666666667,32.5,0.11809009276737661,ns,15
mistral,beam_length_mean,direct_information,stochastic_information,106.47333333333333,106.64666666666668,-0.17333333333334622,55.0,0.7763811150102832,ns,15
mistral,beam_length_mean,direct_information,no_context,106.47333333333333,108.25333333333333,-1.7800000000000011,42.0,0.33026123046875,ns,15
mistral,beam_length_mean,implicature_information,stochastic_information,105.88666666666667,106.64666666666668,-0.7600000000000051,53.0,0.7197265625,ns,15
mistral,beam_length_mean,no_context,stochastic_information,108.25333333333333,106.64666666666668,1.606666666666655,47.0,0.48870849609375,ns,15
mistral,H_fb_ratio,direct_information,stochastic_information,1.0731116604082875,1.13796650154544,-0.06485484113715256,32.0,0.12054443359375,ns,15
mistral,H_fb_ratio,direct_information,no_context,1.0731116604082875,1.0810623081267516,-0.007950647718464099,53.0,0.7197265625,ns,15
mistral,H_fb_ratio,implicature_information,stochastic_information,1.0872373923701322,1.13796650154544,-0.05072910917530793,46.0,0.45428466796875,ns,15
mistral,H_fb_ratio,no_context,stochastic_information,1.0810623081267516,1.13796650154544,-0.056904193418688465,49.0,0.5614013671875,ns,15
mistral,EAS_fb_ratio,direct_information,stochastic_information,1.308256461469834,1.4128227173456935,-0.10456625587585955,33.0,0.1353759765625,ns,15
mistral,EAS_fb_ratio,direct_information,no_context,1.308256461469834,1.3510428090872595,-0.0427863476174255,49.0,0.5614013671875,ns,15
mistral,EAS_fb_ratio,implicature_information,stochastic_information,1.3262593780052354,1.4128227173456935,-0.08656333934045812,34.0,0.15142822265625,ns,15
mistral,EAS_fb_ratio,no_context,stochastic_information,1.3510428090872595,1.4128227173456935,-0.061779908258434046,45.0,0.42120361328125,ns,15
mistral,half_life_rel,direct_information,stochastic_information,0.5042505592841163,0.5142805232514364,-0.010029963967320032,38.0,0.21138429779617696,ns,15
mistral,half_life_rel,direct_information,no_context,0.5042505592841163,0.5046979865771812,-0.0004474272930649059,52.0,0.6482369914669115,ns,15
mistral,half_life_rel,implicature_information,stochastic_information,0.5026332035484531,0.5142805232514364,-0.011647319702983272,34.0,0.24537722677371787,ns,15
mistral,half_life_rel,no_context,stochastic_information,0.5046979865771812,0.5142805232514364,-0.009582536674255127,51.0,0.9249414325548433,ns,15
qwen,eas_mean,direct_information,stochastic_information,0.43510293193017713,0.3915933860164904,0.04350954591368672,22.0,0.0301513671875,*,15
qwen,eas_mean,direct_information,no_context,0.43510293193017713,0.4267944514023265,0.008308480527850604,45.0,0.42120361328125,ns,15
